epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94973,1.43182,2.03924,1.48332,0.43333,0.10078,0.11243,0.04226,1.96658,15.5046,1.81605,0.07822,0.00022,0.00022
2,15.5111,1.38805,1.5254,1.43791,0.15924,0.37468,0.11504,0.03802,2.38726,14.5167,2.11056,0.0554485,0.000448515,0.000448515
3,21.7428,1.43485,1.56154,1.46219,0.25,0.10594,0.05075,0.01665,3.20723,99.9756,3.32884,0.0326755,0.000675512,0.000675512
4,27.8688,1.40124,1.48986,1.44265,0.22725,0.44186,0.21157,0.07441,1.97365,5.46815,2.01254,0.00990099,0.000900991,0.000900991
5,34.2515,1.42134,1.5116,1.46216,0.22838,0.29292,0.17376,0.07256,1.98084,4.90362,1.77174,0.0009868,0.0009868,0.0009868
6,40.3865,1.42766,1.51655,1.47456,0.23313,0.27132,0.15203,0.06271,2.14575,3.20606,1.9006,0.0009835,0.0009835,0.0009835
7,46.5634,1.41154,1.47803,1.46141,0.42762,0.34109,0.30427,0.12187,2.12675,2.71796,1.93159,0.0009802,0.0009802,0.0009802
8,52.9364,1.40941,1.48368,1.4566,0.46415,0.43411,0.40816,0.18365,1.58351,2.91747,1.6936,0.0009769,0.0009769,0.0009769
9,59.3015,1.36538,1.39438,1.43449,0.46547,0.42377,0.3969,0.17546,1.70683,2.49539,1.5789,0.0009736,0.0009736,0.0009736
10,65.5421,1.36337,1.39494,1.42211,0.46169,0.51938,0.44263,0.22239,1.58867,3.2564,1.64578,0.0009703,0.0009703,0.0009703
11,71.8511,1.30161,1.35875,1.40824,0.55809,0.57881,0.5554,0.30962,1.4714,1.65377,1.497,0.000967,0.000967,0.000967
12,78.2689,1.32759,1.32955,1.40821,0.62646,0.54522,0.59842,0.32153,1.4129,1.38433,1.32933,0.0009637,0.0009637,0.0009637
13,84.6228,1.28025,1.28425,1.38078,0.59768,0.51054,0.54312,0.27917,1.56704,1.5744,1.36976,0.0009604,0.0009604,0.0009604
14,90.887,1.31703,1.32968,1.4137,0.63618,0.6124,0.65309,0.38096,1.35774,1.51781,1.34865,0.0009571,0.0009571,0.0009571
15,97.2344,1.28303,1.29425,1.38938,0.53358,0.51163,0.50961,0.25829,1.51693,1.53735,1.38059,0.0009538,0.0009538,0.0009538
16,103.389,1.26617,1.2714,1.37279,0.61145,0.54005,0.57132,0.31529,1.42338,1.30266,1.32535,0.0009505,0.0009505,0.0009505
17,109.629,1.26311,1.25793,1.36036,0.66479,0.67442,0.66083,0.33551,1.55254,1.40656,1.42691,0.0009472,0.0009472,0.0009472
18,115.758,1.23829,1.24809,1.35936,0.56622,0.62274,0.59846,0.27419,1.65451,1.88422,1.40225,0.0009439,0.0009439,0.0009439
19,121.907,1.23608,1.22853,1.35237,0.67712,0.66925,0.68106,0.39155,1.37239,1.2727,1.28984,0.0009406,0.0009406,0.0009406
20,128.195,1.20325,1.18003,1.31966,0.66898,0.60207,0.66345,0.39438,1.22021,1.10338,1.30385,0.0009373,0.0009373,0.0009373
21,134.748,1.21436,1.19638,1.34433,0.65713,0.60982,0.61356,0.32893,1.23266,1.32978,1.24035,0.000934,0.000934,0.000934
22,140.946,1.19033,1.17873,1.33066,0.65965,0.65633,0.68444,0.38744,1.31702,1.21146,1.24021,0.0009307,0.0009307,0.0009307
23,147.159,1.20933,1.16147,1.32251,0.71139,0.61499,0.6858,0.39408,1.3216,1.11323,1.28617,0.0009274,0.0009274,0.0009274
24,153.37,1.21818,1.18257,1.3459,0.64494,0.60724,0.63616,0.34624,1.51062,1.38616,1.36946,0.0009241,0.0009241,0.0009241
25,159.506,1.16443,1.13694,1.30363,0.65043,0.66349,0.70035,0.38768,1.47803,1.34377,1.34069,0.0009208,0.0009208,0.0009208
26,165.67,1.1867,1.10545,1.30265,0.66081,0.62274,0.67742,0.40134,1.24479,1.14609,1.2666,0.0009175,0.0009175,0.0009175
27,172,1.18535,1.1098,1.32384,0.56392,0.62532,0.57616,0.32809,1.36865,2.37961,1.27186,0.0009142,0.0009142,0.0009142
28,178.149,1.14082,1.09449,1.27806,0.736,0.67183,0.73943,0.42238,1.18745,1.17019,1.21873,0.0009109,0.0009109,0.0009109
